streaming-service        | CLI1 | Q1 | transaction_id,store_id,payment_method_id,voucher_id,user_id,original_amount,discount_applied,final_amount,created_at
streaming-service        | CLI1 | Q1 | bb95f837-d7e3-4251-a99a-5f152748fd78,1,5,,,78.0,0.0,78.0,2024-01-01 10:07:17
streaming-service        | CLI1 | Q1 | 3b4cc1e2-6d69-4b12-bd41-1e115cf0a37e,2,2,,,78.0,0.0,78.0,2024-01-01 10:09:13
streaming-service        | CLI1 | Q1 | af10a85a-7e6f-45e8-88db-5f6292ff5e18,7,2,,,75.0,0.0,75.0,2024-01-01 10:09:29
streaming-service        | CLI1 | Q1 | 48f20dc3-f4b0-497f-9e91-e87f79dbd6f1,3,4,,,75.0,0.0,75.0,2024-01-01 10:12:13
streaming-service        | CLI1 | Q1 | ee80909a-33ab-48b0-85bc-c0b1b01b1874,7,5,,,81.0,0.0,81.0,2024-01-01 10:14:22
streaming-service        | CLI1 | Q1 | b1e73a37-2503-4b2f-839b-2f47db04cbfc,5,2,,,76.5,0.0,76.5,2024-01-01 10:17:13
streaming-service        | CLI1 | Q1 | 66e866a6-688b-4f61-8112-528236ff3296,10,3,,,78.0,0.0,78.0,2024-01-01 10:24:18
streaming-service        | CLI1 | Q1 | b66942aa-2116-48b6-8bf8-d284a4448f4f,9,5,,,75.0,0.0,75.0,2024-01-01 10:24:34
streaming-service        | CLI1 | Q1 | 1364b178-b450-4b56-a605-ad774e82ef61,2,2,,,77.0,0.0,77.0,2024-01-01 10:29:39
streaming-service        | CLI1 | Q1 | a1a7e6c2-e00f-4021-9ebe-d61a2b4471c3,10,4,,,81.0,0.0,81.0,2024-01-01 10:29:55
streaming-service        | CLI1 | Q1 | a21825f8-490d-4a55-94dd-2c52bd22d534,6,5,,,81.0,0.0,81.0,2024-01-01 10:33:35
streaming-service        | CLI1 | Q1 | 15901455-ee25-41cb-aa0e-e38c9d0739c9,4,4,,12695.0,75.0,0.0,75.0,2024-01-01 10:34:04
streaming-service        | CLI1 | Q1 | 12df2ceb-b196-4971-9760-1fa6b2f4182d,3,5,,,75.0,0.0,75.0,2024-01-01 10:34:07
streaming-service        | CLI1 | Q1 | af1a5752-9061-4716-bef1-4460ac9feec4,6,1,,,76.5,0.0,76.5,2024-01-01 10:40:36
streaming-service        | CLI1 | Q1 | 19542585-58f6-4b89-beb4-f8e3444dae62,1,2,,,76.5,0.0,76.5,2024-01-01 10:41:00
streaming-service        | CLI1 | Q1 | 122ea829-d40f-47a1-8c12-058b312b925b,1,2,,,79.5,0.0,79.5,2024-01-01 10:41:03
streaming-service        | CLI1 | Q1 | c1301ec2-d3cd-4769-9e0e-d878d9ed0805,2,2,,,75.0,0.0,75.0,2024-01-01 14:23:46
streaming-service        | CLI1 | Q1 | 7873eb30-4807-4a55-a90b-50c079352e9d,5,3,,,76.5,0.0,76.5,2024-01-01 14:27:31
streaming-service        | CLI1 | Q1 | fba73c7f-f4cd-49eb-b53b-b29cdd330915,1,2,,,78.0,0.0,78.0,2024-01-01 14:32:20
streaming-service        | CLI1 | Q1 | e97f756c-2349-4470-aef2-6039826aff6f,4,3,,,81.0,0.0,81.0,2024-01-01 14:39:37
streaming-service        | CLI1 | Q1 | 363fed43-a1ee-422f-a828-bdf142e6b573,2,4,,,81.0,0.0,81.0,2024-01-01 14:40:29
streaming-service        | CLI1 | Q1 | 0aa0ae92-92ec-46f2-90a0-b4103b890618,7,4,,,76.5,0.0,76.5,2024-01-01 14:40:43
streaming-service        | CLI1 | Q1 | 18a1d229-f2bf-4555-a691-d0bcb9d48771,5,3,,,79.5,0.0,79.5,2024-01-01 14:41:15
streaming-service        | CLI1 | Q1 | 5fa2c7c7-c1cd-4a9e-8653-5b8f9e6ff873,3,1,,,79.5,0.0,79.5,2024-01-01 14:41:50
streaming-service        | CLI1 | Q1 | a9ededc9-62e6-4083-a578-c083a43b9a58,9,2,,,81.0,0.0,81.0,2024-01-01 14:56:12
streaming-service        | CLI1 | Q1 | 413eb2c9-8fd7-4ba5-b60e-e4a97448f276,1,3,,,84.0,0.0,84.0,2024-01-01 14:59:02
streaming-service        | CLI1 | Q1 | 0423dba9-5012-45a2-abb6-fd4e426ec0f1,1,3,,,81.0,0.0,81.0,2024-01-01 14:59:44
streaming-service        | CLI1 | Q1 | 55e39a9e-0869-432e-885d-18899c5ccb9d,4,3,,815.0,77.0,0.0,77.0,2024-01-01 15:00:51
streaming-service        | CLI1 | Q1 | ed82165a-2bd3-42f6-a6c0-353c1d8b3941,9,1,,,76.5,0.0,76.5,2024-01-01 15:03:53
streaming-service        | CLI1 | Q1 | 13d55964-bada-436c-98be-9636c9208fa9,2,3,,,75.0,0.0,75.0,2024-01-01 15:04:05
streaming-service        | CLI1 | Q1 | 32dd97b9-de1e-43b5-a979-551b204a6616,3,5,,,78.0,0.0,78.0,2024-01-01 15:07:08
streaming-service        | CLI1 | Q1 | 438d9e25-13b4-451c-80a5-20a7b49c6dad,1,3,,,75.0,0.0,75.0,2024-01-01 15:13:08
streaming-service        | CLI1 | Q1 | 2aaf33de-5797-4c8a-ab11-96805dea153e,4,4,,,84.0,0.0,84.0,2024-01-01 15:19:07
streaming-service        | CLI1 | Q1 | f23b18d1-b1d5-4d7d-80ac-d1b43396462a,6,4,,,79.5,0.0,79.5,2024-01-01 15:27:20
streaming-service        | CLI1 | Q1 | 685b86ab-f851-4155-ad28-c92594e25052,3,4,,,78.0,0.0,78.0,2024-01-01 15:27:50
streaming-service        | CLI1 | Q1 | 746f76aa-e0e9-4865-841d-449a34c7c256,8,4,,,78.0,0.0,78.0,2024-01-01 15:30:25
streaming-service        | CLI1 | Q1 | 50dddbba-1125-4383-973f-ae543fc6ae76,8,5,,,78.0,0.0,78.0,2024-01-01 15:34:49
streaming-service        | CLI1 | Q1 | 08044021-b503-46d0-93ec-5077cf329bc5,5,1,,,85.5,0.0,85.5,2024-01-01 15:39:57
streaming-service        | CLI1 | Q1 | 856a258d-5a9b-4dc6-aaeb-e57f3044e59b,9,2,,,82.5,0.0,82.5,2024-01-01 15:41:16
streaming-service        | CLI1 | Q1 | 6d3b706b-8522-45e5-a6e1-3ff01511b84e,8,1,,,76.5,0.0,76.5,2024-01-01 15:51:49
streaming-service        | CLI1 | Q1 | 071199eb-c9e5-4b4d-b9cd-50b23562ee5d,5,5,,,76.0,0.0,76.0,2024-01-01 15:53:49
streaming-service        | CLI1 | Q1 | 5f8446ff-64c5-48e6-94dd-6c77fdec4c40,4,3,,17494.0,76.5,0.0,76.5,2024-01-01 15:56:25
streaming-service        | CLI1 | Q1 | 6d4fa1b8-20ec-4d69-8d0a-b5c4abacbf84,4,5,,,79.5,0.0,79.5,2024-01-01 15:56:35
streaming-service        | CLI1 | Q1 | 343045e5-f57d-47d3-8285-6851a18569c9,10,3,,,75.0,0.0,75.0,2024-01-01 15:59:38
streaming-service        | CLI1 | Q1 | 49640c54-0c69-44f3-b588-aa4baa18a5de,1,2,,,79.0,0.0,79.0,2024-01-01 16:04:15
streaming-service        | CLI1 | Q1 | 2ab97b68-c89e-42f7-8bc3-682691f9afb4,2,3,,,75.0,0.0,75.0,2024-01-01 16:05:36
streaming-service        | CLI1 | Q1 | ac041629-32cf-47a3-a4a8-9d13f6266d83,6,2,,,78.0,0.0,78.0,2024-01-01 16:12:37
streaming-service        | CLI1 | Q1 | 16e531bc-ed70-436b-9e88-4f9fdf135758,1,1,,,75.0,0.0,75.0,2024-01-01 16:16:12
streaming-service        | CLI1 | Q1 | c7345d08-e347-46a0-a0c7-894858c051e0,6,1,,,77.0,0.0,77.0,2024-01-01 16:19:09
streaming-service        | CLI1 | Q1 | 1ff0be6e-6975-4192-8551-b4b8d1c69433,9,4,,,78.0,0.0,78.0,2024-01-01 16:19:21
streaming-service        | CLI1 | Q1 | 2c10b063-e166-4c5b-957f-12143c09fad3,9,3,,,78.0,0.0,78.0,2024-01-01 16:21:39
streaming-service        | CLI1 | Q1 | 9493189d-1958-4829-ada5-02c17745db25,4,2,,,75.0,0.0,75.0,2024-01-01 16:28:40
streaming-service        | CLI1 | Q1 | 22e41f08-3cbc-40c7-8a7b-ffb92ad840e6,10,4,,,84.0,0.0,84.0,2024-01-01 16:33:54
streaming-service        | CLI1 | Q1 | 1309d7a4-f99d-4799-b33c-dbfb451278e5,9,1,,,75.0,0.0,75.0,2024-01-01 16:43:48
streaming-service        | CLI1 | Q1 | 80d9fa98-8ece-4fcd-9156-4e3b0e2a80c1,10,2,,,77.5,0.0,77.5,2024-01-01 16:45:38
streaming-service        | CLI1 | Q1 | 5ff94990-12bd-48ce-bc33-c56459b0b1e8,4,3,,,77.0,0.0,77.0,2024-01-01 16:50:18
streaming-service        | CLI1 | Q1 | 19b7f280-b96e-49c5-9b92-3af9f193937d,7,5,,,76.0,0.0,76.0,2024-01-01 17:58:19
streaming-service        | CLI1 | Q1 | 6bb8a32d-a591-473a-b3d6-b42dab2cdf65,9,5,,,75.0,0.0,75.0,2024-01-01 18:12:04
streaming-service        | CLI1 | Q1 | 2b40e469-489c-44d0-8664-350acd23226a,5,2,,,78.0,0.0,78.0,2024-01-01 18:24:40
streaming-service        | CLI1 | Q1 | d7080a70-fe6e-4e84-9566-a2534bdffbc1,1,1,,,81.0,0.0,81.0,2024-01-01 18:32:34
streaming-service        | CLI1 | Q1 | 15159ac9-2ce4-4b3e-b042-a4c6a7e5f1fe,10,1,,,75.5,0.0,75.5,2024-01-01 19:52:21
streaming-service        | CLI1 | Q1 | 193489a3-c1ae-4ab6-b83d-83548a177030,10,5,,,75.0,0.0,75.0,2024-01-02 07:04:14
streaming-service        | CLI1 | Q1 | a165985c-7877-42a2-817c-4a32a589e9cf,6,1,,,79.5,0.0,79.5,2024-01-02 07:05:51
streaming-service        | CLI1 | Q1 | 78552639-9f6c-4770-81e4-1a710ab1c2be,7,5,,,79.5,0.0,79.5,2024-01-02 07:10:57
streaming-service        | CLI1 | Q1 | 815c1da8-e6c6-4448-9915-b375e31a7aec,10,1,,,82.5,0.0,82.5,2024-01-02 07:15:54
streaming-service        | CLI1 | Q1 | 565ca9b5-6512-451f-967f-eb5e3a937139,7,4,,,76.5,0.0,76.5,2024-01-02 07:25:02
streaming-service        | CLI1 | Q1 | 0c503d3e-0854-435c-8681-1d88d9a7ea6e,5,5,,,76.0,0.0,76.0,2024-01-02 07:34:50
streaming-service        | CLI1 | Q1 | e6965bd9-6377-438c-be93-621df7f9d284,4,4,,,78.0,0.0,78.0,2024-01-02 08:00:32
