transaction_id,final_amount
00085109-377f-4fc6-b1de-dffa851be665,77.5
000e6737-17e3-4517-a021-62515015632d,75.0
000e7d0d-f7cf-4cf1-822c-e0b4d1341b6b,75.0
0013c129-37b3-4ce9-bde5-a8914c8e2281,76.5
0015e7a8-7392-49d0-ae85-74bbf23864aa,81.0
00173b75-4d3c-40bd-b6a1-bf3c06529eb2,75.0
001b2dae-5d56-4e58-af2c-39cf8d5c5df7,78.0
001bbc55-36b8-456b-a309-340ce84d4de3,85.5
00217c7a-3a98-4352-b8a2-d6154b11d5a1,75.0
00257854-385b-4dee-b2c5-9da1ea491c32,87.0
0027d620-04cf-484a-9662-3d847a407387,76.0
002861f4-a674-486f-845c-6d6db73fa6da,75.0
00292fd5-9e7d-4dbf-8226-21191bbf88bc,76.5
0029f0a6-069a-454c-8ca2-7e5002c9be31,84.0
002a0ab8-c3d1-4160-9ff4-d785fde2bb43,84.0
002a738b-3982-4907-8c5e-2c92f3569270,79.5
002d8731-1491-4cdf-ab2d-286e828b98b1,78.0
002f4e6a-5b7a-43d0-8544-3dd5702b9623,75.0
0032c7a0-98bd-4824-b059-e91c9b02322f,75.0
0033ff64-6332-4b27-869b-9b4699997460,79.5
003680cf-82d8-40b6-8d26-141cb6783c1d,76.5
0036aee6-6ab9-405f-b459-2556bacd6c6a,76.0
003d45c6-b085-4671-a86c-f9c3fc7c351c,76.0
003d70ec-9013-45f5-b8a1-a6e54b7c6fc1,75.0
003da8b7-09fb-4083-9fa2-3b23bcb751d3,84.0
003f1e24-4241-4029-a0e7-5a408a06b760,75.0
003f5fbf-826b-4f2d-bbee-5e7f9804057a,77.0
004197af-93b3-4e7f-b48b-16c51be629f1,77.0
00429cc1-2bca-4c3d-8a07-92b7eae8ce62,76.5
0042f54b-3096-42a6-b033-f5dd76ade44e,84.0
00443171-523e-42fc-95ab-fa67328c2386,79.5
00450190-47e9-4437-9af6-7366bed322e3,75.0
0046176e-cd01-4a9e-ad19-6368b69cc08d,81.0
0046b73b-3c90-44ef-8141-dbde6aef73c6,75.5
00471017-280a-4db0-8243-12a6d6268aa5,82.5
004775a5-9d40-4cc2-aa57-6a0cb9d84fb0,82.5
00491037-488b-4143-abf9-ba02f9efd833,75.0
00497b95-8f7d-45fd-89ae-39d9277674ca,78.0
004a1a64-b325-4505-b064-b9893b9e1ca6,78.0
0051966d-d9cc-4873-b735-0cfd43767a01,78.0
0051c207-1977-4376-9bf8-1c7b8d502261,84.0
0052164c-e28f-4062-b036-e692a0c4efda,84.0
00564390-8b77-468d-b121-efca15916964,76.5
0058ba59-4b75-4b82-a393-ecd542cb9acd,82.5
005c2aef-40c0-4f2e-be05-932aa1b646d6,77.0
005d653c-99f9-4682-a6af-4973156c062e,85.5
0061d83b-2369-4745-b1eb-52dc90b75ac8,88.5
0063e3ff-acc3-4e9f-b9ae-00dbc62c34dc,87.0
00688dfd-3144-41af-8193-56919e764b21,80.0
006b7a1c-58e6-41a2-b322-7bbb18548bff,76.5
006d1849-0ddc-4f6b-a47f-62ae3af11782,75.5
006dabe6-107f-4a8d-beaf-6d3dc8744a2a,76.5
006eb7aa-5db4-491a-a061-e816d248d713,75.0
0070f109-48ab-40d7-ac80-b492211a86e0,78.0
0074289f-621b-475c-ba35-1ddda89329f7,78.0
007c9c60-4548-4a70-b1fe-1de9b0895596,82.5
007c9fa3-3663-4a79-a97f-d1be6f00eebf,85.5
007eca81-4bb3-4289-a0e8-3a417d80d415,75.0
008483f3-9996-4ac5-b12f-6fc5eb33355e,84.0
00849247-3a9e-4467-bdb4-e06c0d763ba0,79.5
0087f863-f20f-4413-99ae-d3c8ba6e9cc9,75.0
00898803-b21b-429a-9263-6d4be78ebdca,81.0
008b96ff-f3fc-4fd0-94a3-6106b8687171,75.0
008c09a2-c8a5-4f3d-b14d-3761c4178d72,82.5
008c5dc5-7dd3-4bcc-8b26-f0e6bcc677ad,82.5
008e4843-b669-471e-a059-b077c6ee32b3,78.0
0091a837-3b37-4d54-9cd3-74584325f572,78.0
0091b28b-e51e-45d6-a212-5af48c4220bb,76.5
00923b5c-d5dd-4719-a821-856fa55115a4,75.0
0095e249-184c-4a78-a73a-944cc8d595a6,78.0
0097bd44-d2c9-47ec-bbc4-0cb50dc268ec,85.5
009b54f4-783e-48a7-bf05-beb8963e3c32,84.0
009bca7b-d0e3-4864-b40c-86b75b9f08d7,81.0
009c7a70-955c-49d1-a40c-093146adee77,75.0
00a0fc2c-7d59-4d90-a5f7-a3587b3b295c,75.0
00a1cd03-fb97-409f-b980-60a643ef129d,78.0
00a22596-69a9-4a56-ae74-72c1bab08f6b,75.0
00a2f30b-e49b-4258-b9f5-7863586ab656,84.0
00b123d8-e230-46ae-839b-edbbddcd6ee3,75.0
00b27109-be84-4a58-83f4-8142121eaf47,78.0
00b32c62-bafe-4e5a-a3bf-e6fe083d0bf9,76.0
00b4941a-3d44-428e-b0a7-09b45840587f,81.0
00b56e32-380e-404b-80d7-6761f68199bf,81.0
00b6be93-91c6-4ff5-80c4-13d62bcc7cfa,78.0
00ba0682-2237-45bb-8a58-3d328bf44224,84.0
00bf48ae-8293-4836-9705-feb8776e2c71,75.0
00c123d7-4c07-4421-9522-2699efe51729,75.0
00c2b426-3226-4cba-bcd6-db06859d6c9f,76.5
00c2eab2-1c0d-46dd-9e13-c2a04f19cd37,79.5
00c63959-052f-40b4-b391-da3f881bb625,76.0
00cc8267-eb9c-462a-a732-1725bfe19c4b,81.0
00cd1f6e-e0c9-4f7d-a024-bc6c2e8e8433,76.5
00cf1a88-f50a-4b64-8dd1-514b4205db32,75.0
00d201eb-d714-44d5-9ec8-d2281c67764c,75.0
00d5ba3e-7c73-47b9-814a-de6c5eabb840,84.0
00d660eb-1993-450f-8fbc-3aa1a3c3447a,76.5
00d67cea-57c2-40ec-ba0a-4f3a26f470c9,75.0
00d95a28-202a-41eb-813e-0f70cd2c91a7,81.0
00dbb31a-2704-4537-ab14-463b1d4899c8,77.5
00dde58b-0b53-4029-9ec4-32e5a6f978bf,82.5
00e74135-d711-46c7-931e-6321143f49fe,81.0
00e93d5d-cf36-4e60-ad7f-2a14d9680c6b,82.5
00ea3ea4-39a4-4003-85c1-fb650f86da8f,76.5
00f17cfd-1a28-49da-ad13-4b7a3a3eb940,76.5
00f5783c-c519-47f5-8f73-62094d68e898,78.0
01031ef4-93d4-4ffb-9d22-f8a85cfe6c22,79.5
0103474b-eb1d-4430-9826-13642671e601,76.5
0103edcf-fa19-4ee1-9d25-b1955ea7f51b,76.5
010417be-c037-4d67-b3a1-87b9599c606a,78.0
0105455b-d7a6-4a89-857c-63693bbc1bf8,75.0
01098cc5-fe32-4ec4-ab7e-96c4339dacb4,76.5
010c5805-3663-49ff-a0b9-10b55e7575a7,77.0
010cd43a-e6cd-4d12-a850-e7e6ca663172,82.5
010edec3-ccd1-46ee-ba8a-fa8bd3f54ccb,75.0
01120a0d-2701-49ed-88f3-46c592eb1e21,76.5
01126b78-b819-4560-806d-7b164b87f603,75.0
011348d6-29a4-4ae7-a15d-53ef2cefecfa,85.5
01184f5a-805d-4e8a-a16b-aee5fac96987,76.14
01190c67-6a53-45b4-addd-9f375eb3a090,81.0
011d9133-1c19-4cb2-ae35-83e74083964e,75.0
011e318d-2362-497f-a0da-066e0116e1d4,88.5
011f04bf-9f1e-42ba-aebd-3f9bd8dd9979,75.5
0121bca6-d3e7-492d-878f-f63a16abbcc4,75.0
01236d18-2a54-41f3-937f-badfa27159f9,76.0
0124473f-9d33-4b5a-925e-887a96e68c9f,75.0
01246a44-38c5-4c3f-a9d9-a10c13e3d6d4,75.5
01267926-25e3-4d7c-a963-4061e0e7c9f5,75.5
