year_half_created_at,store_name,tpv
2024-H1,G Coffee @ Alam Tun Hussein Onn,12055387.76
2024-H1,G Coffee @ Bandar Seri Mulia,12063798.38
2024-H1,G Coffee @ Damansara Saujana,12071599.83
2024-H1,G Coffee @ Kampung Changkat,12075093.82
2024-H1,G Coffee @ Kondominium Putra,12081295.48
2024-H1,G Coffee @ PJS8,12083143.87
2024-H1,G Coffee @ Seksyen 21,12102556.66
2024-H1,G Coffee @ Taman Damansara,12097843.58
2024-H1,G Coffee @ USJ 57W,12074549.72
2024-H1,G Coffee @ USJ 89q,12054500.53
2024-H2,G Coffee @ Alam Tun Hussein Onn,12201348.935
2024-H2,G Coffee @ Bandar Seri Mulia,12160503.315
2024-H2,G Coffee @ Damansara Saujana,12146023.205
2024-H2,G Coffee @ Kampung Changkat,12128707.15
2024-H2,G Coffee @ Kondominium Putra,12143664.675
2024-H2,G Coffee @ PJS8,12130840.06
2024-H2,G Coffee @ Seksyen 21,12140090.415
2024-H2,G Coffee @ Taman Damansara,12178771.765
2024-H2,G Coffee @ USJ 57W,12129201.67
2024-H2,G Coffee @ USJ 89q,12099204.16
2025-H1,G Coffee @ Alam Tun Hussein Onn,11962801.07
2025-H1,G Coffee @ Bandar Seri Mulia,12009401.87
2025-H1,G Coffee @ Damansara Saujana,11984970.7
2025-H1,G Coffee @ Kampung Changkat,12067810.86
2025-H1,G Coffee @ Kondominium Putra,12021300.54
2025-H1,G Coffee @ PJS8,12013619.75
2025-H1,G Coffee @ Seksyen 21,12037040.53
2025-H1,G Coffee @ Taman Damansara,11994787.11
2025-H1,G Coffee @ USJ 57W,12005743.93
2025-H1,G Coffee @ USJ 89q,11996361.26
